name,price,img,rating,reviews,link,category,subcategory
FS01 Dual Fan Mobile Phone Cooler Rechargeable Stronger Cooling Fan Radiator Universal Air Cooling Heat Sink Phone Cooler Clip,1560.00,https://pk-live-21.slatic.net/kf/S9e1052a58de7440bba91ac6f1df2b6d76.jpg,N/A,,//www.daraz.pk/products/fs01-i522709163-s2462777335.html?search=1,Electronic Accessories,Computer & Laptops
For Nano Development Board Wifi Module with Flash Linux 16M Flash Version IOT Internet of Things,1014.00,https://static-01.daraz.pk/p/9a402717e6a023fc9963c3e7526f48f6.jpg,N/A,,//www.daraz.pk/products/wifi-16m-iot-i494134076-s2356316653.html?search=1,Electronic Accessories,Computer & Laptops
M.2Pro 2280 NVMe Heatsink M.2Pro SSD Heatsink Thermal Pad Aluminum Heat Dissipation Band Thermal Pad Easy Install Easy to Use for M2 2280 Ssd C,1645.00,https://static-01.daraz.pk/p/64102a69f86f6f58335d68cdc72bd546.png,N/A,,//www.daraz.pk/products/m2pro-2280-nvme-m2pro-ssd-m2-2280-ssd-c-i433086424-s2073088918.html?search=1,Electronic Accessories,Computer & Laptops
Pack of  02 HY510 Bottled Silicone Grease  CPU Thermal Paste Heat Dissipation Silicone Paste Thermal Conductive Grease Paste,400.00,https://static-01.daraz.pk/p/2f1c37ef4137da38107193a0089fa9af.png,4.4,,//www.daraz.pk/products/pack-of-02-hy510-bottled-silicone-grease-cpu-thermal-paste-heat-dissipation-silicone-paste-thermal-conductive-grease-paste-i183270377-s1365762403.html?search=1,Electronic Accessories,Computer & Laptops
MACHINIST DDR4 RAM 8GB/16GB 2666HMz/3200HMz DDR4 Desktop Memory with Heat Sink DDR4 RAM PC DIMM for All Motherboards,7279.00,https://pk-live-21.slatic.net/kf/S4cffcc2c372846ceb68bde20106449c5G.jpg,N/A,,//www.daraz.pk/products/machinist-ddr4-ram-8gb16gb-pc-dimm-i529480817-s2491378762.html?search=1,Electronic Accessories,Computer & Laptops
Electric door lock power supply  DC 12V with 2 Remotes,3780,https://static-01.daraz.pk/p/415c7aca4909c8b5976a983e8ef71fe3.jpg,N/A,,//www.daraz.pk/products/dc-12v-2-i486543373-s2284628862.html?search=1,Electronic Accessories,Computer & Laptops
10pcs Thermal Pads 15x15mm Copper GPU Thermal Pads Copper Shim Heatsink,436.00,https://static-01.daraz.pk/p/722c73542be83c3c98ca75115fb5b05d.jpg,4.5,,//www.daraz.pk/products/10-15x15-gpu-i351426400-s1782704362.html?search=1,Electronic Accessories,Computer & Laptops
【ZOSR】CPU Cooler For AMD AM4 Intel 775 1150 1151 1155 1156 1200 1366 2011 X79 X99 Radiator 120mm 3Pin PWM 4Pin Cooling Fan Ventilador,4349.00,https://static-01.daraz.pk/p/40f86c725fb3b55b90d6d9f80c3d9242.jpg,N/A,,//www.daraz.pk/products/zosrcpu-cooler-for-amd-am4-intel-775-1150-1151-1155-1156-1200-1366-2011-x79-x99-radiator-120mm-3pin-pwm-4pin-cooling-fan-ventilador-i389626842-s1913926065.html?search=1,Electronic Accessories,Computer & Laptops
"8GB Kingston DDR3 RAM , 12800 1600 Mhz COMPATIBLE WITH ALL i3 i5 i7 1ST GEN TO 5TH GEN PC TOWER DESKTOP",2875.00,https://static-01.daraz.pk/p/b6d5882e983042d0041657d0630550d9.jpg,N/A,,//www.daraz.pk/products/8gb-ddr3-12800-mhz-i3-i5-i7-1st-4rd-i458869235-s2173871130.html?search=1,Electronic Accessories,Computer & Laptops
All New CX07 Cell Phone Cooler Mobile Phone Magnetic Radiator Cooling Fan Cell Phone Live Streaming Cooler 15W Semiconductor Radiator For Playing Games Watching Videos - Magnetic Cooling Radiator Fan For Mobile - Helpful to reduce the Mobile heatness,2299.00,https://static-01.daraz.pk/p/698fb84d985ec704f4819b6f091fff82.jpg,N/A,,//www.daraz.pk/products/cx07-15w-i534649535-s2509267545.html?search=1,Electronic Accessories,Computer & Laptops
AA Tigers AA 302 RGB Fans Kit For Gaming PC's 3 IN 1 Pack,7600.00,https://static-01.daraz.pk/p/b7b36a03cf95b82371ec912f2288bd68.png,N/A,,//www.daraz.pk/products/aa-aa-302-rgb-1-3-i517921096-s2452488814.html?search=1,Electronic Accessories,Computer & Laptops
4GB Good Health DDR3 Branded RAM For PC Supports All type of PC like New Random Access Memory 12800 Optimized Ram for Desktop | Tower PC,1089.00,https://static-01.daraz.pk/p/2fee89285025075a26c1f427bd5f968e.jpg,N/A,,//www.daraz.pk/products/4gb-ddr3-12800-i432205198-s2063482019.html?search=1,Electronic Accessories,Computer & Laptops
Graphic Card 1GB  |NVS 315|DDR3 64bit|DX12|Compatible With all PC,1950.00,https://static-01.daraz.pk/p/8c1fc99ecafe2d80c2c7261fb78cdd72.jpg,5,,//www.daraz.pk/products/budt-1gb-invs-ddr3-64-andx12-i351279247-s1782544768.html?search=1,Electronic Accessories,Computer & Laptops
MEMO DL06 Mobile Phone Radiator Phone For PUBG Phone Cooler Mobile Phone Cooling Fan Case Cooling Fan Case Cold Wind Handle Fan,2699.00,https://static-01.daraz.pk/p/0a6756ec0275bf47eb4c4ceff26d1b7a.jpg,3,,//www.daraz.pk/products/dl06-pubg-i431209744-s2056521526.html?search=1,Electronic Accessories,Computer & Laptops
Intel E8500 Core 2 Duo Wolfdale Dual Core 3.167 GHz LGA 775 6MB L2 Cache 1333 Bus 65W Intel LGA775 Socket Desktop Processor ( Branded Used ),2199.00,https://static-01.daraz.pk/p/4521faf1ab859bfc39d3b2e59862c094.jpg,N/A,,//www.daraz.pk/products/e8500-2-3167-ghz-lga-6mb-l2-775-65-lga775-i311773739-s1651378052.html?search=1,Electronic Accessories,Computer & Laptops
"Premium Mini Cooler Fan: 3-in-1 Portable AC Cooling Fan with Quiet Operation, Adjustable 3 Gear Wind, 7 Ambient Lights, and Timer Ideal for Office, Room, and Desktop Use Mini Air Cooler Fan for Summer solution with our Premium Mini Cooler Fan,versatile",5000.00,https://static-01.daraz.pk/p/2c108e48ec88bc05dcccf203669651a2.jpg,N/A,,//www.daraz.pk/products/1-3-ac-3-7-i506102606-s2413960555.html?search=1,Electronic Accessories,Computer & Laptops
Memo Cx04 Mobile Cooling Fan | Mobile Cooler phone cooling Fan Original,4000.00,https://pk-live-21.slatic.net/kf/S46e3178e3e8e47aa9e6f6bef2be2f32a0.jpg,N/A,,//www.daraz.pk/products/cx04-i495372754-s2368369080.html?search=1,Electronic Accessories,Computer & Laptops
MEMO L01 Mobile Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUGB Mobile Cooler Mobile Cooling Fan Case,1574,https://static-01.daraz.pk/p/5cf78b165a6246dd7b3506bd056a13a8.jpg,5,,//www.daraz.pk/products/l01-pugb-i503204655-s2404482918.html?search=1,Electronic Accessories,Computer & Laptops
500 Watt Solar Power Inverter DC 12V to AC 220 V Power Inverter,2499.00,https://pk-live-21.slatic.net/kf/Sccd5cb6a2b4f4a1aa8da8ffa089de6a9W.jpg,5,,//www.daraz.pk/products/500-watt-solar-power-inverter-dc-12v-to-ac-220-v-power-inverter-i434413908-s2216553448.html?search=1,Electronic Accessories,Computer & Laptops
"Cooler Master HAF 700 EVO PC Case Full-Tower E-ATX 5 x Pre-Installed Fans, Rotatable Radiator Brackets, LCD Real-Time Display, ARGB Edge-Lit Blades",139999.00,https://static-01.daraz.pk/p/2de8729b68cd42d76a27f58093f8ef5e.jpg,N/A,,//www.daraz.pk/products/cooler-master-haf-700-evo-pc-case-full-tower-e-atx-5-x-pre-installed-fans-rotatable-radiator-brackets-lcd-real-time-display-argb-edge-lit-blades-i522705760-s2462753025.html?search=1,Electronic Accessories,Computer & Laptops
MEMO L01 Mobile Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUGB Mobile Cooler Mobile Cooling Fan Case 218 Ratings151 Answered Questions,1599,https://static-01.daraz.pk/p/80e5c0feb77528fc399997a14638df05.jpg,4.3,,//www.daraz.pk/products/l01-pubgb-1-ratngs151-i487624478-s2291725898.html?search=1,Electronic Accessories,Computer & Laptops
Empire Gaming Guardian G-V10 Water Cooling AIO PC Gamer - CPU Liquid Cooling ARGB 3 Pins 5V Radiator 120mm - Fan 120mm PWM Quiet - Intel and AMD,14000.00,https://static-01.daraz.pk/p/e50df6538976ba0abe9307410182dff7.jpg,N/A,,//www.daraz.pk/products/g-v10-aio-cpu-argb-3-5v-120-120-pwm-amd-i436649823-s2096699774.html?search=1,Electronic Accessories,Computer & Laptops
4GB|DDR3 RAM| ORIGNAL 100%| 1200MHZ,1499.00,https://static-01.daraz.pk/p/6a5b5c8751cc1c1af034f6f46aa3c39b.jpg,N/A,,//www.daraz.pk/products/4gb-ddr3-100-i430586493-s2053465860.html?search=1,Electronic Accessories,Computer & Laptops
CX07 Cell Phone Cooler Mobile Phone Magnetic Radiator Cooling Fan Cell Phone Live Streaming Cooler 15W Semiconductor Radiator For Playing Games Watching Videos,2499.00,https://static-01.daraz.pk/p/5efb0cd470441ba79267e0d87c18e72a.jpg,N/A,,//www.daraz.pk/products/cx07-15w-i509849315-s2431036952.html?search=1,Electronic Accessories,Computer & Laptops
"4GB Ram Laptop Ram Memory 4GB DDR3 RAM 4GB Laptop Ram For Laptop 1066Mhz, 1333Mhz, 1600Mhz",3200.00,https://static-01.daraz.pk/p/4979eb5db7d8dff68b74df4fa7864ff6.jpg,N/A,,//www.daraz.pk/products/laptop-memory-ram-memory-4gb-ddr3-1066mhz1333mhz-1600mhz-i205254136-s1407964871.html?search=1,Electronic Accessories,Computer & Laptops
Manual Speed ​​Adjustment 4-Wire PWM Fan Controller for PC ​​Governor Governor Computer CPU Intel,925,https://static-01.daraz.pk/p/6bf0f22feb3df19c273cbee59ffacfbf.jpg,N/A,,//www.daraz.pk/products/4-pwm-cpu-i170146463-s1340020172.html?search=1,Electronic Accessories,Computer & Laptops
DDR3L RAM 4GB 8GB 1066 1333 1600MHZ PC3 10600s Laptop Computer Memory Modul SODIMM RAM Low voltage 1.35V PC3 12800s ddr3 ram,1000.00,https://static-01.daraz.pk/p/1d23b7ce047dd104c1231517e903965e.png,N/A,,//www.daraz.pk/products/ddr3l-4gb-8gb-1066-mhz-pc3-1333-s-1600-s-ddr3-i534850587-s2510735225.html?search=1,Electronic Accessories,Computer & Laptops
i7 3RD GENERATiON TOWER PC WITH AMD RX 590 8GB RGB GAMING CASE (CUSTOM BUiLD PC),95000.00,https://static-01.daraz.pk/p/0e18d69a811bef6054d9575bf679db2f.jpg,N/A,,//www.daraz.pk/products/i7-3rd-rx-amd-8gb-rgb-i454156249-s2153558225.html?search=1,Electronic Accessories,Computer & Laptops
CORSAIR iCUE QL120 RGB 120mm PWM Triple Fan with Lighting Node CORE,33800.00,https://static-01.daraz.pk/p/7586a547b23ddab0bc505d540e4a43ad.jpg,N/A,,//www.daraz.pk/products/ql120-rgb-120-pwm-i411287115-s1965034062.html?search=1,Electronic Accessories,Computer & Laptops
PC Ram Pure Branded 4GB DDR3 Super Fast Ram for PC Fully Attested Random Access Memory for all types of PC,1099.00,https://static-01.daraz.pk/p/ea6283cf8eca9d1da2da4322a6b16b31.jpg,3.9,,//www.daraz.pk/products/4gb-ddr3-i432374512-s2064285775.html?search=1,Electronic Accessories,Computer & Laptops
New Raspberry Pi 4 Model-B with 1GB RAM – Bluetooth 5.0 – WiFi – USB3.0 – 4K@60 H.265,35000.00,https://static-01.daraz.pk/p/7cee2c472156764a4d9cb66fc241c7fe.jpg,N/A,,//www.daraz.pk/products/new-raspberry-pi-4-model-b-with-4gb-ram-bluetooth-50-wifi-usb30-4k60-h265-i136606470-s1296868023.html?search=1,Electronic Accessories,Computer & Laptops
MEMO L01 Mobile Radiator Phone Cold Wind Handle Fan Mobile Cooler Mobile Cooling Fan Heat Sink Radiator| PUBG FREEFIRE,2250.00,https://static-01.daraz.pk/p/9df15f065c25df89f89c5e9a157552e0.jpg,4,,//www.daraz.pk/products/l01-pubg-i487893255-s2389815325.html?search=1,Electronic Accessories,Computer & Laptops
Ttp223 Touch Sensor Module Touch Sensor For Arduino And Raspberry Pi,85.00,https://static-01.daraz.pk/p/8fbdf65731627f659a4e71f2b789b568.jpg,N/A,,//www.daraz.pk/products/ttp223-i490658842-s2320838990.html?search=1,Electronic Accessories,Computer & Laptops
6 pin to 8 pin PCI Express GPU Adapter Cable,799.00,https://static-01.daraz.pk/p/bb744b13e3a55f2e799aed7ddb58154d.png,4.6,,//www.daraz.pk/products/6-pin-to-8-pin-pci-express-gpu-adapter-cable-i335505587-s2240962763.html?search=1,Electronic Accessories,Computer & Laptops
"ASUS ROG Hyperion GR701 E-ATX Computer Gaming Case White 420 mm dual radiator support, four 140 mm fans, metal GPU holder",156999.00,https://static-01.daraz.pk/p/7fc4432dc69a4d0a1e116001bc6f76b3.jpg,N/A,,//www.daraz.pk/products/asus-rog-hyperion-gr701-e-atx-computer-gaming-case-white-420-mm-dual-radiator-support-four-140-mm-fans-metal-gpu-holder-i462629431-s2190691588.html?search=1,Electronic Accessories,Computer & Laptops
MEMO DL08 Semi-Conductor Cooling Mobile Phone Radiator,5690.00,https://static-01.daraz.pk/p/bda28f2569bc8a330f06b12a8f82cc06.jpg,N/A,,//www.daraz.pk/products/dl08-i479440859-s2249477521.html?search=1,Electronic Accessories,Computer & Laptops
Qiunery CX07 Cell Phone Cooler Mobile Phone Magnetic Radiator Cooling Fan Cell Phone Live Streaming Cooler 15W Semiconductor Radiator For Playing Games Watching Videos,3140.00,https://pk-live-21.slatic.net/kf/S443dc10dc04b4be09cf2f73a0c17ecda4.jpg,N/A,,//www.daraz.pk/products/qiunery-cx07-15w-i500316216-s2393295934.html?search=1,Electronic Accessories,Computer & Laptops
W1209 Digital thermostat Temperature Control Switch DC 12v Module / arduino raspberry pi,419.00,https://static-01.daraz.pk/p/3d4c9ef35e535b2ef524db4182e6167f.jpg,5,,//www.daraz.pk/products/w1209-dc-12-i104450753-s1250906698.html?search=1,Electronic Accessories,Computer & Laptops
MEMO CX04 Magnetic Mobile Cooling Fan Phone Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUBG Phone Cooler Phone Cooling Fan Case,1999.00,https://static-01.daraz.pk/p/9909c0e4ba55db108d492ab74c37152c.jpg,N/A,,//www.daraz.pk/products/memo-cx04-magnetic-cooling-fan-phone-radiator-phone-cooling-fan-case-cold-wind-handle-fan-for-pubg-phone-cooler-phone-cooling-fan-case-i432576913-s2065242459.html?search=1,Electronic Accessories,Computer & Laptops
MEMO L01 Mobile Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUGB Mobile Cooler Mobile Cooling Fan Case,1669.00,https://static-01.daraz.pk/p/7bad949d67d8f51c69c10ea06fc44ded.jpg,N/A,,//www.daraz.pk/products/l01-pugb-i494513152-s2404304011.html?search=1,Electronic Accessories,Computer & Laptops
This is an Arduino Due with a Micro USB cable. It is the first ARM-based Arduino development board. This micro-controller board is based on the Atmel SAM3X8E ARM Cortex M3 CPU. It is the first Arduino board based on a 32-bit ARM core microcontroller. It h,9500.00,https://static-01.daraz.pk/p/7695e8300baa91642b14d14d84d62820.jpg,N/A,,//www.daraz.pk/products/due-atsam-3x8e-i462191348-s2187310066.html?search=1,Electronic Accessories,Computer & Laptops
DDR3L RAM 4GB 8GB 1066 1333 1600MHZ PC3 10600s Laptop Computer Memory Modul SODIMM RAM Low voltage 1.35V PC3 12800s ddr3 ram,1000.00,https://static-01.daraz.pk/p/1d23b7ce047dd104c1231517e903965e.png,N/A,,//www.daraz.pk/products/ddr3l-4gb-8gb-1066-mhz-pc3-1333-s-1600-s-ddr3-i534843750-s2510710908.html?search=1,Electronic Accessories,Computer & Laptops
Cold Wind Handle Fan DL05 for PUBG Phone Cooler Phone Cooling Fan Case,2799.00,https://pk-live-21.slatic.net/kf/Sf1a1c963d43247629d81386911f485773.jpg,N/A,,//www.daraz.pk/products/pubg-dl05-i511697296-s2436455187.html?search=1,Electronic Accessories,Computer & Laptops
30 Pieces Mk8 Nozzle 0.4Mm  Nozzles Extruder Pt ad For  Makeot City Cr-10(1Pc Plastic Box),1589.00,https://static-01.daraz.pk/p/26ee7527dcb19147c0f506b7267a6111.jpg,N/A,,//www.daraz.pk/products/30-mk8-04-pt-ad-1-i216243625-s1425974463.html?search=1,Electronic Accessories,Computer & Laptops
X13 Universal Mobile Game Cooler System Cooling Fan | Adjustable Portable Light PUBG Gamepad Trigger Controller Holder Stand Radiator For All Smart Phone Devices.,645.00,https://static-01.daraz.pk/p/dabb354ea682eea5895e17fff427ba8c.jpg,4.5,,//www.daraz.pk/products/x13-pubg-i402660951-s1943207922.html?search=1,Electronic Accessories,Computer & Laptops
2X Ultrathin M.2 SSD Heat Sink M2 2280 Solid State Hard Disk Aluminum Heatsink Cooler Cooling Thermal Pad Grey,1482.00,https://static-01.daraz.pk/p/d0b57eaa3b4905c382e13965e58be3c0.png,N/A,,//www.daraz.pk/products/2x-m2-ssd-m2-2280-i460093764-s2181818763.html?search=1,Electronic Accessories,Computer & Laptops
rtx zotac 2060 6gb powerful gaming card used with box,69000.00,https://pk-live-21.slatic.net/kf/Sc32c31b200c8442ba6f3d78b0f4c5912H.jpg,N/A,,//www.daraz.pk/products/rtx-zotac-2060-6gb-i431946046-s2060319386.html?search=1,Electronic Accessories,Computer & Laptops
8GB DDR3 1600Mhz Ram 12800u For Desktop PC,3500.00,https://static-01.daraz.pk/p/897da7ed8b3496187b215e8fac7c0659.jpg,N/A,,//www.daraz.pk/products/8gb-ddr3-1600mhz-12800u-i494554803-s2359298463.html?search=1,Electronic Accessories,Computer & Laptops
M.2Pro 2280 NVMe Heatsink M.2Pro SSD Heatsink Thermal Pad Aluminum Heat Dissipation Band Thermal Pad Durable Easy to Use for M2 2280 Ssd B,1700.00,https://static-01.daraz.pk/p/cbda50fe5cddf6fdac17fa6da3a16295.png,N/A,,//www.daraz.pk/products/m2pro-2280-nvme-m2pro-ssd-m2-2280-ssd-b-i433150490-s2075023224.html?search=1,Electronic Accessories,Computer & Laptops
"8GB DDR3 RAM , For All Type of Desktop & Tower PCs",7000.00,https://static-01.daraz.pk/p/109df7c6e41f88ef2f28f87f07b9dea8.jpg,N/A,,//www.daraz.pk/products/8gb-ddr3-i457404449-s2166090759.html?search=1,Electronic Accessories,Computer & Laptops
ice tray-1 x ice roller-Purple,964.00,https://static-01.daraz.pk/p/f926648223027485f50823034ceac66c.jpg,N/A,,//www.daraz.pk/products/ice-tray-1-x-ice-roller-purple-i320256144-s1699264648.html?search=1,Electronic Accessories,Computer & Laptops
"DDR3 8GB  RAM,  For ALL type of desktop &Tower PCs,",3199,https://static-01.daraz.pk/p/13eef428efe3cb7910f49ef47d2124aa.jpg,N/A,,//www.daraz.pk/products/ddr3-8gb-ram-for-all-type-of-desktop-tower-pcs-i464013881-s2194331103.html?search=1,Electronic Accessories,Computer & Laptops
4GB DDR3 SUPER RAM FOR ALL TYPE OF DESKTOP & TOWER PC HIGH QUALITY BRANDED LOT RAM SYSTEM PULLED RAM,1199.00,https://static-01.daraz.pk/p/3fe05d3b13d225dab2781561243330e4.jpg,N/A,,//www.daraz.pk/products/4gb-ddr3-i495229654-s2366319186.html?search=1,Electronic Accessories,Computer & Laptops
External USB Sound Card USB To 3.5mm Audio Earphone Adapter Aux Mic Audio Jack Microphone For PC Laptop,645.00,https://static-01.daraz.pk/p/47218b3e54a55d51d0708255704971d9.jpg,N/A,,//www.daraz.pk/products/usb-usb-35-i457983141-s2169353635.html?search=1,Electronic Accessories,Computer & Laptops
2gb ddr3 ram for laptop 10600 1333MHZ WORKS WITH i3 i5 i7 1ST GEN TO 3RD GEN LAPTOPS BRANDED RAM(Mix Brands Available),549.00,https://static-01.daraz.pk/p/ae35e16442378ab4f62663ac3d48407c.png,N/A,,//www.daraz.pk/products/2gb-ddr3-10600-mhz-i3-i5-i7-1st-3rd-i479752375-s2251912858.html?search=1,Electronic Accessories,Computer & Laptops
Dell 7020 Tower Motherboard with Casing (4th Generation),15000.00,https://static-01.daraz.pk/p/59530cf647b93fe89db6c88244b7f73d.jpg,N/A,,//www.daraz.pk/products/dell-7020-tower-motherboard-with-casing-4th-generation-i412535330-s1969929336.html?search=1,Electronic Accessories,Computer & Laptops
